domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.zeit.de,0.01022556954436451,0.128031798459668,0.038906374900079956,0.10323195343956848,1112.0
www.stern.de,0.045176384621949124,0.26664348960512924,0.07662442396313368,0.1479119110940917,868.0
www.sueddeutsche.de,0.026037911398080923,0.2773219506993058,0.06802371984575369,0.1328182334363583,354.0
www.morgenpost.de,0.06347898823798104,0.18608717884226478,0.06271982414068744,0.10096030368700298,278.0
www.focus.de,0.042416362530413636,0.25615065381134594,0.10291582842677724,0.1407981503475526,274.0
www.welt.de,0.05621330525387543,0.21307504014230333,0.0746513854079643,0.11502130627925784,228.0
www.n-tv.de,0.039316202090592334,0.2543398067744756,0.07486972512582267,0.1279328063969021,205.0
www.faz.net,0.03743816662467457,0.21905791955851622,0.07336293776769964,0.1142147551660402,189.0
www.tagesschau.de,0.028516195041618748,0.23494233238087237,0.08608685727329794,0.14922154962301415,177.0
www.tagesspiegel.de,0.06294816468253969,0.18386454990746764,0.07436805555555556,0.11705333884477234,160.0
www.bild.de,0.0426635661580917,0.25149186973801724,0.041054004794880715,0.09574813931518253,137.0
www.handelsblatt.com,0.048913160733549045,0.20711513156090294,0.040873786407766996,0.08750469786958899,103.0
www.spiegel.de,0.06459686147186147,0.19749517748289785,0.10944715007215006,0.14789592885298888,88.0
www.nzz.ch,0.0559804894179894,0.18314388402477805,0.0890983245149912,0.12532634011170982,72.0
www.wiwo.de,0.015049302549302541,0.20813085073390936,0.08589466089466093,0.12810477694106331,66.0
taz.de,0.002777777777777771,0.22014628651055518,0.047528860028860025,0.1170458647653262,66.0
www.diepresse.com,0.050018832391713744,0.23861413758117775,0.05636265805757331,0.1266212051382048,59.0
orf.at,0.034893617021276586,0.2553503334332243,0.12708966565349547,0.1682195693259526,47.0
www.brigitte.de,0.18168050941306751,0.27731972138749783,0.044684385382059794,0.08624776852259718,43.0
consent.google.com,0.021557017543859646,0.3246221048009501,0.013157894736842105,0.08111071056538127,38.0
www.dw.com,0.03097751322751322,0.24684175185285478,0.0806084656084656,0.12118021138711059,30.0
www.spektrum.de,0.10935185185185185,0.18517408264438864,0.045370370370370366,0.0758264061830961,27.0
www.basicthinking.de,0.08687936507936506,0.17590906956680175,0.10974603174603174,0.1298752235653326,25.0
www.kicker.de,0.15180555555555553,0.223335992124919,0.056134259259259266,0.13623547302649655,24.0
www.golem.de,0.05166666666666667,0.1310420062401786,0.024999999999999998,0.05322570145504247,20.0
www.heise.de,-0.018279761904761903,0.1873333466920665,0.06583333333333333,0.13641986701708467,20.0
www.wissenschaft.de,0.02013392857142857,0.2841736766911873,0.022023809523809522,0.07225709954996912,16.0
www.urlaubspiraten.de,0.1765327380952381,0.15813256680050955,0.010416666666666666,0.041666666666666664,16.0
steiermark.orf.at,0.10064271541950114,0.19884379419626813,0.12891156462585032,0.16137831114578385,14.0
www.autobild.de,0.22653846153846155,0.20995751503496632,0.019230769230769232,0.046941726012425675,13.0
www.telepolis.de,-0.07646520146520147,0.1883463224243196,0.025,0.06291528696058958,13.0
